label,text
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
spam,Congratulations! You've won $1000. Call now!
spam,URGENT! Your account will be closed. Click here immediately.
spam,Free entry to win iPhone. Text WIN to 12345
spam,You have been selected for a cash prize. Claim now!
spam,Hot singles in your area. Click to meet them!
spam,Get rich quick! Make $5000 per week from home.
spam,Your loan has been approved. Call us now!
spam,Congratulations! You've won a free vacation to Hawaii!
spam,WINNER! You've been chosen for a $500 gift card.
spam,Act now! Limited time offer. Buy now and save 90%!
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,Can you send me the report by end of day?
ham,Thanks for your help with the project.
ham,Meeting rescheduled to 3 PM. See you then.
ham,Happy birthday! Hope you have a great day!
ham,Don't forget to pick up milk on your way home.
ham,The presentation went well. Thanks for your support.
ham,Can you review this document when you get a chance?
ham,Looking forward to seeing you at the conference.
ham,Please confirm your attendance for tomorrow's meeting.
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,Can you send me the report by end of day?
